Job Name,Company Name,Location,Level
Business Analyst Leader,Công ty TNHH Printway,"- Hà Nội: Tầng 2, Nhà 1B, Khu VL1, Khu Thương mại Dịch vụ Trung Văn, Phường Đại Mỗ, Nam Từ Liêm",Trưởng nhóm
2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ HAY HAY GLOBAL,"- Hà Nội: Tầng 4, tòa Green Park Tower, Lô 33, ngõ 6 Dương Đình Nghệ, phường Yên Hòa TP Hà Nội, Cầu Giấy, Cầu Giấy",Nhân viên
AI Engineer,Công ty Cổ phần SEONGON Thịnh Vượng,"- Hà Nội: 46 Bích Câu, Ô Chợ Dừa, Đống Đa",Nhân viên
Quản Lý Dự Án,Công Ty Cổ Phần Edulive Toàn Cầu,"- Hà Nội: Khu Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm, Bắc Từ Liêm",Quản lý / Giám sát
Chuyên Viên An Toàn Thông Tin Hà Nội,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa",Nhân viên
Senior Developer Trung,Tập Đoàn Vàng Bạc Đá Quý DOJI,"- Hà Nội: DOJI Tower, số 5 Lê Duẩn, Ba Đình",Nhân viên
Trưởng Nhóm Phân Tích Nghiệp Vụ,CÔNG TY TNHH PHÁT TRIỂN HỆ THỐNG DỊCH VỤ CÔNG NGHỆ THÔNG TIN,"- Hà Nội: Số 38 Đỗ Đức Dục, Phường Mễ Trì, Nam Từ Liêm",Trưởng nhóm
Java Backend,Công ty cổ phần công nghệ ứng dụng Arabica Việt Nam,"- Hà Nội: 72 Dương Khuê, Nam Từ Liêm",Nhân viên
Fullstack Developer SQL,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG AWING VIỆT NAM,"- Hà Nội: Tầng 4, tòa nhà King Building, 7 Chùa Bộc, Kim Liên, Đống Đa",Nhân viên
Thực Tập Sinh Lập Trình Back-End,CÔNG TY TNHH NEO TALENT,"- Hà Nội: 18 Tuệ Tĩnh, Hai Bà Trưng",Trưởng nhóm
Business Analyst Manager,Công ty CP Công nghệ phần mềm và nội dung số OSP,"- Hà Nội: Tầng 4, Tòa The Garden Hill, 99 Trần Bình, Nam Từ Liêm",Trưởng/Phó phòng
Data Engineer,Công ty Cổ phần GEM,"- Hà Nội: Tòa The Nine, số 9 Phạm Văn Đồng, Mai Dịch, Cầu Giấy - Hồ Chí Minh: Tầng 8, Hưng Bình Tower, 669 Điện Biên Phủ, Phường 25, Bình Thạnh, Bình Thạnh",Nhân viên
Chuyên Viên Phân Tích Dữ Liệu Data Analyst,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,"- Hà Nội: Tòa nhà Viwaseen 48 đường Tố Hữu, phường Trung Văn, Nam Từ Liêm",Nhân viên
IT Business Analyst Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ SOLID,"- Hà Nội: Duy Tân, Cầu Giấy",Nhân viên
