Frequency,count
IT - Phần mềm,467
Nghỉ thứ 7,431
IT - Phần cứng và máy tính,114
Chuyên môn Backend Developer,78
Chuyên môn Business Analyst (Phân tích nghiệp vụ),68
Chuyên môn Software Engineer,54
Chuyên môn Mobile Developer,43
Chuyên môn Fullstack Developer,40
Chuyên môn Manual Tester,39
Chuyên môn Công nghệ thông tin khác,38
Tài chính,35
An ninh mạng,33
Chuyên môn Frontend Developer,32
Game,31
Chuyên môn Product Owner/Product Manager,31
Chuyên môn IT Project Manager,29
Ngân hàng,27
Chuyên môn DevOps Engineer,27
Chuyên môn AI Engineer,27
Điện toán đám mây (Cloud),24
Chuyên môn Software Tester (Automation & Manual),20
Viễn thông,20
Thương mại điện tử,18
Tiếng Anh Đọc hiểu,17
Chuyên môn Data Engineer,16
Chuyên môn IT Helpdesk/IT support,16
Chuyên môn System Administrator,15
Tiếng Anh Giao tiếp thành thạo,14
Tiếng Anh Giao tiếp cơ bản,14
Tiếng Nhật JLPT N2,13
Chuyên môn System Engineer,13
Điện / Điện tử / Điện lạnh,12
Chuyên môn Concept Artist,12
Công nghệ kỹ thuật,11
Chuyên môn Quản trị và vận hành bảo mật,11
Chuyên môn Kỹ sư cầu nối BrSE,11
Chuyên môn Game Developer,10
Tiếng Anh IELTS 7.0,9
Chuyên môn Game Design,9
Chuyên môn Technical Leader,9
Chuyên môn QA Engineer,9
Chuyên môn Network Engineer,9
Y tế / Dược phẩm,9
Thiết kế / Kiến trúc,9
Chuyên môn Embedded Engineer/Lập trình nhúng,8
Chuyên môn Data Scientist,8
Chứng khoán,8
Chuyên môn Process Quality Assurance (PQA),8
Tiếng Anh IELTS 6.5,7
Chuyên môn BIM Engineer,7
Marketing / Quảng cáo,7
Giáo dục / Đào tạo,6
Chuyên môn Chuyên viên Cyber Security,6
Chuyên môn IT Comtor,6
Tuổi 25 - 35,6
Chuyên môn Scrum Master,6
Cơ khí / Tự động hóa,6
Chuyên môn Database Administrator (DBA),6
Tiếng Anh IELTS 6.0,6
Chuyên môn Game Tester,5
Tiếng Anh TOEIC 750,5
Chuyên môn Automation Tester,5
Xây dựng,5
Chuyên môn Kỹ thuật IT,5
Tiếng Anh TOEIC 800,5
Tiếng Anh TOEIC 650,5
Từ 25 tuổi trở lên,5
Bảo hiểm,5
Tiếng Anh TOEIC 600,5
Tuổi 23 - 30,4
Từ 22 tuổi trở lên,4
Tiếng Anh TOEIC 700,4
Từ 24 tuổi trở lên,4
Tiếng Anh TOEIC 550,4
Tuổi 24 - 30,4
Tiếng Anh IELTS 7.5,4
Nhà hàng / Khách sạn,4
Tiếng Anh TOEIC 500,4
Tiếng Anh IELTS 8.0,4
Tiếng Nhật JLPT N3,4
Chuyên môn AI Researcher,4
Sản xuất,4
Năng lượng / Môi trường,4
Mỹ thuật / Nghệ thuật / Điện ảnh,4
Chuyên môn Chuyên viên IT Security,3
Kế toán,3
Bán lẻ - Hàng tiêu dùng - FMCG,3
Bưu chính,3
Chuyên môn Kỹ sư IoT (IoT Engineer),3
Chuyên môn Solution Architect,3
Chuyên môn Kiểm thử và đánh giá bảo mật,3
Chuyên môn Blockchain Engineer,3
Tuổi 23 - 35,3
Tuổi 20 - 30,3
Chuyên môn GIS Engineer,3
Chuyên môn IT Consultant,3
Tiếng Hàn TOPIK 5,3
Tuổi 25 - 30,3
Tuổi 22 - 30,3
Logistic / Vận tải,3
Tuổi 27 - 35,2
Tiếng Nhật Giao tiếp thành thạo,2
Bất động sản,2
Tuổi 23 - 40,2
Tuổi 24 - 35,2
Du lịch,2
Chuyên môn Chief Technology Officer (CTO),2
Nhân sự,2
Tuổi 25 - 45,2
Chuyên môn Product Analyst/Research,2
Tuổi 25 - 40,2
Tiếng Anh IELTS 5.5,2
Chuyên môn Tuân thủ và kiểm toán bảo mật,2
Tuổi 22 - 28,2
Chuyên môn Cloud Engineer,2
Tuổi 22 - 25,2
Chuyên môn Vị trí Game Development khác,2
Chính phủ/Dịch vụ công,2
Tuổi 28 - 40,2
Tuổi 25 - 32,1
Tuổi 18 - 18,1
Tuổi 18 - 35,1
Tuổi 21 - 23,1
Tuổi 32 - 45,1
Tuổi 22 - 35,1
Tuổi 28 - 50,1
Tuổi 20 - 35,1
Tiếng Nhật JLPT N4,1
Tiếng Hàn Giao tiếp cơ bản,1
Tuổi 24 - 31,1
Tuổi 23 - 50,1
Chuyên môn Mã hóa và bảo mật dữ liệu,1
Tuổi 23 - 33,1
Tổ chức phi lợi nhuận,1
Tuổi 35 - 50,1
Chuyên môn Software Architect,1
Tuổi 26 - 35,1
Tuổi 25 - 42,1
Luật / Pháp chế,1
Từ 25 tuổi trở xuống,1
Thời vụ,1
Tuổi 22 - 45,1
Từ 23 tuổi trở lên,1
May mặc / Thời trang,1
Tuổi 24 - 28,1
Từ 35 tuổi trở xuống,1
Tuổi 30 - 35,1
Chuyên môn Sales IT Phần mềm khác,1
B2B,1
Kho vận,1
Tuổi 20 - 27,1
Chuyên môn Technical Manager,1
Chuyên môn Chăm sóc khách hàng,1
Kiểm toán,1
Tuổi 20 - 40,1
Chuyên môn Phòng chống lừa đảo và an ninh mạng,1
Từ 27 tuổi trở lên,1
