Job Name,Company Name,Tag,Level,Location
Business Analyst Leader,Công ty TNHH Printway,Chuyên môn Business Analyst (Phân tích nghiệp vụ),Trưởng nhóm,"- Hà Nội: Tầng 2, Nhà 1B, Khu VL1, Khu Thương mại Dịch vụ Trung Văn, Phường Đại Mỗ, Nam Từ Liêm"
Business Analyst Leader,Công ty TNHH Printway,IT - Phần mềm,Trưởng nhóm,"- Hà Nội: Tầng 2, Nhà 1B, Khu VL1, Khu Thương mại Dịch vụ Trung Văn, Phường Đại Mỗ, Nam Từ Liêm"
Business Analyst Leader,Công ty TNHH Printway,Thương mại điện tử,Trưởng nhóm,"- Hà Nội: Tầng 2, Nhà 1B, Khu VL1, Khu Thương mại Dịch vụ Trung Văn, Phường Đại Mỗ, Nam Từ Liêm"
2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ HAY HAY GLOBAL,Chuyên môn Concept Artist,Nhân viên,"- Hà Nội: Tầng 4, tòa Green Park Tower, Lô 33, ngõ 6 Dương Đình Nghệ, phường Yên Hòa TP Hà Nội, Cầu Giấy, Cầu Giấy"
2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ HAY HAY GLOBAL,Game,Nhân viên,"- Hà Nội: Tầng 4, tòa Green Park Tower, Lô 33, ngõ 6 Dương Đình Nghệ, phường Yên Hòa TP Hà Nội, Cầu Giấy, Cầu Giấy"
2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ HAY HAY GLOBAL,Thiết kế / Kiến trúc,Nhân viên,"- Hà Nội: Tầng 4, tòa Green Park Tower, Lô 33, ngõ 6 Dương Đình Nghệ, phường Yên Hòa TP Hà Nội, Cầu Giấy, Cầu Giấy"
2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ HAY HAY GLOBAL,IT - Phần mềm,Nhân viên,"- Hà Nội: Tầng 4, tòa Green Park Tower, Lô 33, ngõ 6 Dương Đình Nghệ, phường Yên Hòa TP Hà Nội, Cầu Giấy, Cầu Giấy"
2D Game Artist,CÔNG TY TNHH CÔNG NGHỆ HAY HAY GLOBAL,Nghỉ thứ 7,Nhân viên,"- Hà Nội: Tầng 4, tòa Green Park Tower, Lô 33, ngõ 6 Dương Đình Nghệ, phường Yên Hòa TP Hà Nội, Cầu Giấy, Cầu Giấy"
AI Engineer,Công ty Cổ phần SEONGON Thịnh Vượng,Chuyên môn AI Engineer,Nhân viên,"- Hà Nội: 46 Bích Câu, Ô Chợ Dừa, Đống Đa"
Quản Lý Dự Án,Công Ty Cổ Phần Edulive Toàn Cầu,Chuyên môn IT Project Manager,Quản lý / Giám sát,"- Hà Nội: Khu Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm, Bắc Từ Liêm"
Quản Lý Dự Án,Công Ty Cổ Phần Edulive Toàn Cầu,IT - Phần mềm,Quản lý / Giám sát,"- Hà Nội: Khu Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm, Bắc Từ Liêm"
Quản Lý Dự Án,Công Ty Cổ Phần Edulive Toàn Cầu,Giáo dục / Đào tạo,Quản lý / Giám sát,"- Hà Nội: Khu Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm, Bắc Từ Liêm"
Quản Lý Dự Án,Công Ty Cổ Phần Edulive Toàn Cầu,Nghỉ thứ 7,Quản lý / Giám sát,"- Hà Nội: Khu Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm, Bắc Từ Liêm"
Quản Lý Dự Án,Công Ty Cổ Phần Edulive Toàn Cầu,Tuổi 27 - 35,Quản lý / Giám sát,"- Hà Nội: Khu Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm, Bắc Từ Liêm"
Chuyên Viên An Toàn Thông Tin Hà Nội,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,Chuyên môn Chuyên viên IT Security,Nhân viên,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa"
Chuyên Viên An Toàn Thông Tin Hà Nội,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,IT - Phần mềm,Nhân viên,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa"
Chuyên Viên An Toàn Thông Tin Hà Nội,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,IT - Phần cứng và máy tính,Nhân viên,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa"
Chuyên Viên An Toàn Thông Tin Hà Nội,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,Nghỉ thứ 7,Nhân viên,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa"
Chuyên Viên An Toàn Thông Tin Hà Nội,CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM,Tuổi 25 - 32,Nhân viên,"- Hà Nội: Tầng 11, Toà Peakview, 36 Hoàng Cầu, Ô Chợ Dừa, Đống Đa"
Senior Developer Trung,Tập Đoàn Vàng Bạc Đá Quý DOJI,Chuyên môn Công nghệ thông tin khác,Nhân viên,"- Hà Nội: DOJI Tower, số 5 Lê Duẩn, Ba Đình"
Senior Developer Trung,Tập Đoàn Vàng Bạc Đá Quý DOJI,IT - Phần mềm,Nhân viên,"- Hà Nội: DOJI Tower, số 5 Lê Duẩn, Ba Đình"
Senior Developer Trung,Tập Đoàn Vàng Bạc Đá Quý DOJI,Nghỉ thứ 7,Nhân viên,"- Hà Nội: DOJI Tower, số 5 Lê Duẩn, Ba Đình"
